"Mês/Ano";"UF";"Município";"Zona";"Quantidade";"%";
"";"SP";"BORBOREMA";"55";"11.345";"0,035"
"";"SP";"BOREBI";"161";"1.987";"0,006"
"";"SP";"BOTUCATU";"26";"94.792";"0,296"
"";"SP";"BRAGANÇA PAULISTA";"27";"118.043";"0,369"
"";"SP";"BRAÚNA";"289";"4.177";"0,013"
"";"SP";"BREJO ALEGRE";"25";"2.359";"0,007"
"";"SP";"BRODOWSKI";"22";"15.531";"0,049"
"";"SP";"BROTAS";"28";"17.851";"0,056"
"";"SP";"BURI";"53";"14.788";"0,046"
"";"SP";"BURITAMA";"214";"12.410";"0,039"
"";"SP";"BURITIZAL";"50";"3.383";"0,011"
"";"SP";"CABRÁLIA PAULISTA";"97";"3.906";"0,012"
"";"SP";"CABREÚVA";"59";"32.498";"0,102"
"";"SP";"CAÇAPAVA";"29";"68.355";"0,214"
"";"SP";"CACHOEIRA PAULISTA";"145";"24.615";"0,077"
"";"SP";"CACONDE";"30";"14.456";"0,045"
"";"SP";"CAFELÂNDIA";"31";"13.385";"0,042"
"";"SP";"CAIABU";"167";"3.668";"0,011"
"";"SP";"CAIEIRAS";"192";"63.618";"0,199"
"";"SP";"CAIUÁ";"102";"4.119";"0,013"
"";"SP";"CAJAMAR";"354";"54.519";"0,170"
"";"SP";"CAJATI";"228";"23.446";"0,073"
"";"SP";"CAJOBI";"80";"8.047";"0,025"
"";"SP";"CAJURU";"32";"18.585";"0,058"
"";"SP";"CAMPINA DO MONTE ALEGRE";"215";"4.573";"0,014"
"";"SP";"CAMPINAS";"33";"71.561";"0,224"
"";"SP";"CAMPINAS";"274";"90.951";"0,284"
"";"SP";"CAMPINAS";"275";"133.180";"0,416"
"";"SP";"CAMPINAS";"378";"165.522";"0,517"
"";"SP";"CAMPINAS";"379";"144.586";"0,452"
"";"SP";"CAMPINAS";"380";"120.373";"0,376"
"";"SP";"CAMPINAS";"423";"81.364";"0,254"
"";"SP";"CAMPO LIMPO PAULISTA";"344";"59.568";"0,186"
"";"SP";"CAMPOS DO JORDÃO";"35";"38.686";"0,121"
"";"SP";"CAMPOS NOVOS PAULISTA";"83";"3.705";"0,012"
"";"SP";"CANANÉIA";"36";"10.216";"0,032"
"";"SP";"CANAS";"68";"3.695";"0,012"
"";"SP";"CÂNDIDO MOTA";"226";"24.698";"0,077"
"";"SP";"CÂNDIDO RODRIGUES";"139";"2.548";"0,008"
"";"SP";"CANITAR";"313";"3.699";"0,012"
"";"SP";"CAPÃO BONITO";"37";"36.803";"0,115"
"";"SP";"CAPELA DO ALTO";"140";"12.813";"0,040"
"";"SP";"CAPIVARI";"38";"35.462";"0,111"
"";"SP";"CARAGUATATUBA";"206";"77.608";"0,243"
"";"SP";"CARAPICUÍBA";"303";"100.753";"0,315"
"";"SP";"CARAPICUÍBA";"388";"176.070";"0,550"
"";"SP";"CARDOSO";"224";"10.122";"0,032"
"";"SP";"CASA BRANCA";"39";"21.052";"0,066"
"";"SP";"CÁSSIA DOS COQUEIROS";"32";"2.775";"0,009"
"";"SP";"CASTILHO";"9";"13.940";"0,044"
"";"SP";"CATANDUVA";"40";"85.647";"0,268"
"";"SP";"CATIGUÁ";"179";"5.783";"0,018"
"";"SP";"CEDRAL";"126";"6.684";"0,021"
"";"SP";"CERQUEIRA CÉSAR";"205";"14.137";"0,044"
"";"SP";"CERQUILHO";"355";"30.792";"0,096"
"";"SP";"CESÁRIO LANGE";"140";"11.725";"0,037"
"";"SP";"CHARQUEADA";"244";"12.517";"0,039"
"";"SP";"CHAVANTES";"313";"9.721";"0,030"
"";"SP";"CLEMENTINA";"25";"5.265";"0,016"
"";"SP";"COLINA";"178";"14.569";"0,046"
"";"SP";"COLÔMBIA";"21";"5.732";"0,018"
"";"SP";"CONCHAL";"75";"20.183";"0,063"
"";"SP";"CONCHAS";"41";"13.787";"0,043"
"";"SP";"CORDEIRÓPOLIS";"243";"17.390";"0,054"
"";"SP";"COROADOS";"25";"4.117";"0,013"
"";"SP";"CORONEL MACEDO";"236";"4.341";"0,014"
"";"SP";"CORUMBATAÍ";"245";"2.771";"0,009"
"";"SP";"COSMÓPOLIS";"360";"44.325";"0,139"
"";"SP";"COSMORAMA";"138";"6.083";"0,019"
"";"SP";"COTIA";"227";"101.752";"0,318"
"";"SP";"COTIA";"286";"47.071";"0,147"
"";"SP";"CRAVINHOS";"193";"24.715";"0,077"
"";"SP";"CRISTAIS PAULISTA";"240";"6.923";"0,022"
